Dataset,Kernel,Dataset size,C,Sigma,Degree,Support_Vectors,Boundary_Vectors,Test accuracy,Fit_Time
Iris,linear,100,0.01,,,82,80,0.99,0.02400350570678711
Iris,linear,100,0.1,,,31,27,0.99,0.013998746871948242
Iris,linear,100,0.25,,,20,18,0.99,0.0060002803802490234
Iris,linear,100,0.5,,,14,12,0.99,0.007014274597167969
Iris,linear,100,1.0,,,10,8,0.99,0.005999326705932617
Iris,linear,100,2.0,,,6,4,0.99,0.006999492645263672
Iris,linear,100,10.0,,,4,1,1.0,0.025998353958129883
Iris,linear,100,50.0,,,4,0,1.0,0.027998685836791992
Iris,rbf,100,0.01,2.2,,100,100,0.99,0.09789443016052246
Iris,rbf,100,0.1,2.2,,59,54,0.99,0.04110312461853027
Iris,rbf,100,0.25,2.2,,36,26,0.99,0.03499865531921387
Iris,rbf,100,0.5,2.2,,25,16,0.99,0.04102611541748047
Iris,rbf,100,1.0,2.2,,22,8,0.99,0.034105777740478516
Iris,rbf,100,2.0,2.2,,15,6,1.0,0.024914264678955078
Iris,rbf,100,10.0,2.2,,11,0,1.0,0.024996519088745117
Iris,rbf,100,50.0,2.2,,11,0,1.0,0.026000261306762695
Iris,poly,100,0.01,,4.0,91,86,0.6,0.06599807739257812
Iris,poly,100,0.1,,4.0,88,81,0.6,0.749722957611084
Iris,poly,100,0.25,,4.0,87,80,0.6,0.7856347560882568
Iris,poly,100,0.5,,4.0,87,80,0.6,1.434098243713379
Iris,poly,100,1.0,,4.0,88,81,0.6,1.9788851737976074
Iris,poly,100,2.0,,4.0,88,81,0.6,5.9600746631622314
Iris,poly,100,10.0,,4.0,88,81,0.6,15.934024810791016
Iris,poly,100,50.0,,4.0,88,80,0.6,27.080021142959595
Iris,poly,100,0.01,,5.0,58,55,0.93,0.03089594841003418
Iris,poly,100,0.1,,5.0,39,35,0.96,0.021114110946655273
Iris,poly,100,0.25,,5.0,31,28,1.0,0.024979114532470703
Iris,poly,100,0.5,,5.0,26,24,1.0,0.015001058578491211
Iris,poly,100,1.0,,5.0,24,21,0.98,0.015997648239135742
Iris,poly,100,2.0,,5.0,20,16,0.98,0.012013673782348633
Iris,poly,100,10.0,,5.0,13,10,0.98,0.015095233917236328
Iris,poly,100,50.0,,5.0,8,5,1.0,0.010012626647949219
Circles,rbf,50,0.01,2.2,,50,50,1.0,0.01900315284729004
Circles,rbf,50,0.1,2.2,,50,50,1.0,0.01899886131286621
Circles,rbf,50,0.25,2.2,,50,50,1.0,0.044892072677612305
Circles,rbf,50,0.5,2.2,,50,50,1.0,0.019041776657104492
Circles,rbf,50,1.0,2.2,,50,50,1.0,0.015000104904174805
Circles,rbf,50,2.0,2.2,,48,38,1.0,0.037016868591308594
Circles,rbf,50,10.0,2.2,,23,11,1.0,0.13809633255004883
Circles,rbf,50,50.0,2.2,,17,1,1.0,0.33089160919189453
Circles,poly,50,0.01,,4.0,50,47,0.9,0.009999275207519531
Circles,poly,50,0.1,,4.0,18,12,1.0,0.030001401901245117
Circles,poly,50,0.25,,4.0,12,6,1.0,0.0480196475982666
Circles,poly,50,0.5,,4.0,8,2,1.0,0.04701399803161621
Circles,poly,50,1.0,,4.0,8,2,1.0,0.017984628677368164
Circles,poly,50,2.0,,4.0,6,1,1.0,0.012000083923339844
Circles,poly,50,10.0,,4.0,6,0,1.0,0.012997627258300781
Circles,poly,50,50.0,,4.0,6,0,1.0,0.01398468017578125
Circles,poly,50,0.01,,5.0,50,50,0.62,0.013014793395996094
Circles,poly,50,0.1,,5.0,50,45,0.64,0.020995378494262695
Circles,poly,50,0.25,,5.0,50,43,0.62,0.06017804145812988
Circles,poly,50,0.5,,5.0,49,42,0.62,0.3397715091705322
Circles,poly,50,1.0,,5.0,49,42,0.62,0.9830851554870605
Circles,poly,50,2.0,,5.0,49,42,0.62,1.175055742263794
Circles,poly,50,10.0,,5.0,49,42,0.62,5.19091010093689
Circles,poly,50,50.0,,5.0,49,42,0.62,26.080085039138794
Moons,rbf,50,0.01,2.2,,50,50,0.84,0.015120983123779297
Moons,rbf,50,0.1,2.2,,48,45,0.84,0.021893024444580078
Moons,rbf,50,0.25,2.2,,35,31,0.86,0.024084806442260742
Moons,rbf,50,0.5,2.2,,29,21,0.92,0.030979633331298828
Moons,rbf,50,1.0,2.2,,22,14,0.96,0.028084516525268555
Moons,rbf,50,2.0,2.2,,21,13,0.98,0.03510093688964844
Moons,rbf,50,10.0,2.2,,12,2,1.0,0.04990124702453613
